Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price
Airoli,558.05,3,,31,,2.8,Yes,No,8543312
Belapur,1422.05,3,3.0,31,9.0,14.9,No,No,24458392
CBD Belapur,1357.0,2BHK,,30,24.0,24.0,no,Yes,13829085
,779.7,3,4.0,17,13.0,10.7,,NO,10526700
 panvel,531.79,2,4.0,,13.0,7.8,No,NO,9689561
Vashi,527.74,,,14,26.0,5.9,No,YES,8240030
KHARGHAR ,1589.42,4,4.0,34,30.0,12.8,Yes,Yes,21697111
Ulwe,836.15,3,4.0,25,22.0,3.8,No,NO,11032304
CBD Belapur,1278.94,4,1.0,19,17.0,3.0,Yes,No,17663058
Panvel,2007.43,2,3.0,3,31.0,6.8,yes,,37229194
nerul,1640.79,1,4.0,12,33.0,5.6,Yes,NO,28396840
nerul,1317.21,4,3.0,Ground,39.0,12.1,,NO,23629322
 panvel,1145.07,2BHK,4.0,9,27.0,12.5,Yes,NO,15044748
,917.62,,2.0,33,18.0,8.5,yes,,9402984
nerul,643.76,2,3.0,18,22.0,12.4,Yes,No,10809590
Panvel,1389.86,2,,33,1.0,6.9,,YES,18028803
Belapur,946.47,1,1.0,10,20.0,4.5,,,17769166
nerul,876.84,2BHK,2.0,11,9.0,16.2,Yes,NO,7987349
KHARGHAR ,999.63,3,1.0,6,5.0,0.4,yes,,17433573
,640.97,3,4.0,9,36.0,10.3,no,No,9860580
Airoli,960.63,4,3.0,1,39.0,13.4,Yes,No,15070493
 panvel,877.03,,,33,8.0,8.2,No,NO,14063637
Ulwe,1265.55,1,,27,31.0,15.0,yes,NO,17556127
Panvel,1138.39,2,3.0,26,23.0,13.1,,,₹16115430
Ghansoli,767.45,4,1.0,3,,5.8,yes,Yes,₹8745115
Kharghar,1828.66,3,,24,37.0,12.6,No,No,29966275
nerul,1735.89,1,3.0,15,9.0,8.2,,No,17306338
Airoli,482.53,2,3.0,15,17.0,14.9,no,No,6288204
 panvel,981.38,3,,31,,9.1,Yes,NO,15144952
KHARGHAR ,1056.02,2BHK,,22,5.0,7.7,yes,,15321051
Ulwe,615.94,3,4.0,19,9.0,1.2,No,Yes,6997419
Airoli,7357.02,4,2.0,5,34.0,12.0,,No,105982175
KHARGHAR ,394.16,2,2.0,16,32.0,14.2,no,YES,5776653
Ulwe,1361.51,,,26,18.0,11.0,No,YES,20204246
nerul,648.29,2,,8,14.0,7.6,No,Yes,12171003
,1331.25,1,4.0,15,1.0,11.1,Yes,,16544238
KHARGHAR ,885.46,2BHK,1.0,20,24.0,4.6,,YES,11128948
Vashi,846.16,4,1.0,24,24.0,1.0,yes,Yes,10422470
,1462.38,3,,34,13.0,4.0,Yes,,25171238
Vashi,1362.1,,4.0,16,35.0,5.7,no,Yes,23077578
Belapur,883.27,,3.0,0,32.0,22.8,no,NO,10080388
Belapur,669.1,2BHK,2.0,5,28.0,14.1,yes,Yes,6201268
Vashi,951.22,1,,7,21.0,11.5,,,17749031
Vashi,254.76,3,2.0,14,17.0,5.8,No,YES,3175980
Kharghar,364.85,2BHK,4.0,7,29.0,10.6,No,Yes,₹3436956
,1138.2,2BHK,4.0,32,17.0,19.6,No,Yes,16278392
 panvel,1182.69,,4.0,4,23.0,9.3,Yes,No,₹19788069
Ulwe,259.73,2,4.0,7,8.0,15.5,,YES,4479329
Ulwe,837.8,,3.0,15,4.0,13.3,No,Yes,13230653
KHARGHAR ,407.61,3,3.0,Ground,24.0,1.9,,NO,7707855
CBD Belapur,735.87,3,3.0,31,36.0,7.5,Yes,No,13140599
Vashi,977.97,2BHK,3.0,,29.0,15.3,yes,NO,15758353
Nerul,565.98,4,1.0,30,20.0,7.3,No,No,9685385
,1125.79,,4.0,9,5.0,7.4,No,NO,15267281
Nerul,977.43,,,9,18.0,1.6,yes,,15111682
,1472.42,4,4.0,Ground,37.0,11.4,No,NO,28199144
,1498.74,2,2.0,12,35.0,9.1,no,No,27782369
CBD Belapur,764.24,1,1.0,24,4.0,10.8,Yes,NO,10630873
Panvel,1304.75,3,2.0,33,20.0,5.5,No,Yes,16300610 INR
Vashi,949.27,4,3.0,0,4.0,8.8,Yes,No,₹12081056
 panvel,102.39,1,4.0,11,11.0,0.1,No,No,820111
Kharghar,1074.34,1,,,16.0,1.5,,,12382782
Belapur,1199.42,1,4.0,4,22.0,10.0,yes,YES,20411572
nerul,1497.37,,,14,36.0,15.1,no,No,19080915
 panvel,1326.31,,1.0,15,32.0,2.1,no,Yes,13986799
Airoli,397.43,3,2.0,31,26.0,9.3,no,NO,5545225
Airoli,524.64,2BHK,4.0,26,11.0,2.8,No,Yes,5556647
Airoli,1005.95,2BHK,4.0,9,29.0,14.0,No,NO,13658154
 panvel,452.09,1,1.0,12,38.0,7.8,Yes,No,8429079
,648.51,,2.0,23,28.0,13.3,Yes,YES,9400425
KHARGHAR ,109.99,1,2.0,17,38.0,11.8,yes,YES,2098544
KHARGHAR ,699.16,2BHK,,7,7.0,7.8,no,YES,12902344
Panvel,1305.82,2BHK,4.0,29,7.0,17.5,,Yes,23140224
,1251.07,2,2.0,24,27.0,0.9,,NO,22188709
Ghansoli,578.48,1,4.0,29,27.0,25.6,,NO,9403706
 panvel,1689.34,3,,1,12.0,1.6,yes,Yes,32471130
Ghansoli,1206.05,3,3.0,5,8.0,13.8,Yes,,17055571
,848.83,1,4.0,25,28.0,8.2,No,NO,13706820 INR
Ghansoli,656.58,,3.0,Ground,,0.4,no,NO,9330557
Belapur,136.06,2BHK,4.0,18,15.0,9.0,,YES,2041349
Panvel,1166.66,2BHK,1.0,17,,16.1,,YES,15510673
CBD Belapur,1336.72,4,3.0,24,35.0,12.3,Yes,NO,28998176
KHARGHAR ,874.35,3,1.0,9,18.0,13.5,Yes,YES,15931046
Nerul,842.74,1,1.0,,29.0,9.0,No,Yes,11080586
Ulwe,923.57,3,1.0,25,3.0,0.7,no,Yes,14575639
Ulwe,136.8,,2.0,20,30.0,20.7,no,,1950826
Nerul,765.53,2BHK,2.0,31,23.0,12.5,No,NO,11402078
Kharghar,669.3,3,3.0,10,6.0,2.3,no,YES,₹11634681
KHARGHAR ,771.8,4,4.0,12,19.0,16.7,yes,YES,11411305
Nerul,1108.82,1,,23,9.0,13.1,Yes,NO,12420274
 panvel,881.33,2BHK,,17,18.0,10.7,Yes,,9815815
KHARGHAR ,936.8,2BHK,2.0,14,15.0,4.9,yes,YES,16875869
Ghansoli,802.92,3,,12,26.0,5.2,,,9746500
CBD Belapur,1979.34,,2.0,18,23.0,8.4,Yes,YES,18617730
Kharghar,420.37,2,3.0,13,13.0,7.4,,Yes,5988631
Kharghar,7082.74,2,,,14.0,11.2,no,YES,102414740
CBD Belapur,1669.71,3,1.0,21,20.0,11.2,yes,YES,20031423
nerul,164.39,1,2.0,18,17.0,3.9,No,,1942123
Kharghar,1414.77,3,4.0,7,5.0,17.3,no,NO,25471873
 panvel,875.66,3,3.0,22,1.0,9.9,yes,,17889381
Ghansoli,871.14,2BHK,2.0,1,,1.0,no,YES,11700795
,3760.44,2BHK,4.0,,22.0,6.2,no,YES,42931653
Vashi,1115.52,4,3.0,24,10.0,15.3,No,Yes,19445709
Nerul,1121.32,2,4.0,34,35.0,6.9,no,Yes,13394930
 panvel,1415.83,,2.0,24,2.0,7.5,no,YES,17343822
,1253.59,1,,8,12.0,10.7,No,NO,20030988
CBD Belapur,1120.35,1,,0,16.0,8.1,,YES,18562820
Ulwe,912.22,,2.0,33,35.0,10.5,yes,No,14843842
Belapur,848.57,2,4.0,9,3.0,5.2,,YES,12047445
Belapur,880.95,2BHK,4.0,3,13.0,11.8,No,YES,14239960
,771.39,3,2.0,12,10.0,13.1,Yes,Yes,9692201
,1524.55,1,3.0,20,31.0,1.7,,No,16024483
KHARGHAR ,939.36,2BHK,2.0,21,18.0,15.2,,,16973075
Ulwe,1218.09,,1.0,11,21.0,12.1,No,Yes,15183252
Nerul,585.47,4,4.0,25,1.0,0.7,yes,No,11052011
 panvel,816.09,3,4.0,11,5.0,5.6,No,No,10151582
 panvel,359.41,4,2.0,25,14.0,10.7,no,YES,6216951
Vashi,987.76,2BHK,,25,38.0,10.2,No,No,13898522
Ghansoli,1190.85,,,16,23.0,8.4,yes,,16316427
Ulwe,619.88,2,2.0,1,14.0,5.0,,,9530411
Airoli,631.57,2BHK,,20,20.0,8.6,no,,7712264
Belapur,906.8,,3.0,3,8.0,4.4,,,14652278
nerul,81.1,2,4.0,30,11.0,1.1,,Yes,₹1239273
Panvel,656.74,2BHK,1.0,14,28.0,19.4,Yes,No,11354182
Panvel,1597.84,1,3.0,27,8.0,13.6,yes,,17543059
 panvel,1039.78,3,1.0,26,32.0,14.3,No,YES,15429296
CBD Belapur,1033.78,1,,10,16.0,5.6,no,YES,16545580
Nerul,948.6,3,2.0,0,15.0,5.5,yes,Yes,15078683
CBD Belapur,1258.77,1,2.0,3,18.0,10.6,no,,15384902 INR
Nerul,963.85,,4.0,26,34.0,16.2,No,YES,8549710
nerul,411.77,2BHK,,20,26.0,18.2,,Yes,3483416
Kharghar,1471.31,2BHK,1.0,15,4.0,11.5,yes,NO,15270943
Ulwe,1526.78,1,,2,35.0,4.9,,No,₹16503905
Nerul,756.55,2BHK,3.0,28,10.0,13.1,no,,9123487
nerul,909.15,2BHK,1.0,34,11.0,13.9,,Yes,13407821
Belapur,2778.55,2,4.0,28,16.0,11.0,yes,Yes,32389289
Kharghar,939.92,4,4.0,19,5.0,11.8,no,,11886994
KHARGHAR ,1655.97,2BHK,,19,36.0,24.8,yes,YES,29784238
,1614.17,1,3.0,4,11.0,5.6,No,Yes,15422326
nerul,1747.74,1,1.0,24,17.0,6.3,,No,21730868
Kharghar,1118.92,3,,4,15.0,8.8,Yes,Yes,20732671
KHARGHAR ,1383.08,,4.0,31,20.0,5.2,,,21581302
Nerul,932.87,2,3.0,4,7.0,8.3,No,YES,9716098
 panvel,74.16,3,2.0,10,35.0,1.7,yes,No,1221705
Vashi,1198.63,2,3.0,18,31.0,5.8,,Yes,23006520
Airoli,327.37,,2.0,15,34.0,5.4,No,,4345409
Airoli,1237.58,2BHK,4.0,0,,14.0,,,17717482
Kharghar,125.7,2,3.0,29,19.0,9.8,No,YES,2044763
Panvel,847.08,3,1.0,34,,14.5,no,No,8800312
Kharghar,861.58,,4.0,Ground,27.0,8.4,yes,No,14054526
Ulwe,858.41,2BHK,4.0,,16.0,8.5,no,YES,8198075
Belapur,1566.13,2,1.0,12,21.0,4.7,yes,Yes,16787632
Belapur,629.26,2BHK,3.0,6,15.0,8.4,yes,,9028884
Nerul,749.3,3,4.0,26,30.0,13.5,Yes,Yes,14152260
KHARGHAR ,816.94,,1.0,31,11.0,14.6,Yes,No,8563880
 panvel,1134.02,1,4.0,28,26.0,9.4,No,No,14137503
KHARGHAR ,1708.06,1,2.0,8,31.0,6.4,no,Yes,22838391
Ulwe,1161.11,,2.0,1,10.0,13.0,,NO,₹14721206
Ghansoli,922.55,2,2.0,24,26.0,0.2,yes,No,11628397
Kharghar,235.45,4,2.0,22,35.0,4.3,,,4920014
,1056.85,,2.0,7,15.0,11.1,no,No,15754465
,1297.47,4,2.0,29,1.0,2.1,No,No,16616236
Panvel,-351.79,,3.0,14,3.0,15.2,no,Yes,-3981893
Kharghar,1082.95,,4.0,13,26.0,5.7,Yes,YES,17475406
CBD Belapur,1398.74,3,2.0,23,21.0,15.9,no,Yes,18758043
Panvel,936.19,4,2.0,,20.0,2.2,no,,10845277
Kharghar,642.34,3,4.0,20,8.0,2.4,Yes,,11990005 INR
Kharghar,927.22,,2.0,22,34.0,9.8,yes,Yes,12776285
Airoli,620.21,2BHK,2.0,Ground,2.0,3.5,yes,Yes,5449498
Nerul,1575.16,4,3.0,18,11.0,6.4,yes,,19286161
Belapur,1043.55,2BHK,4.0,17,21.0,15.0,yes,Yes,12927783
Ghansoli,836.51,,4.0,26,25.0,11.5,no,No,9190872
CBD Belapur,905.51,1,,22,14.0,2.6,no,YES,15684609
 panvel,134.65,1,4.0,5,28.0,12.5,Yes,No,1921357
Panvel,1238.59,,4.0,31,10.0,11.8,,YES,15927819
Ghansoli,493.33,1,3.0,Ground,38.0,5.7,Yes,No,9186220
CBD Belapur,8.67,4,,31,8.0,4.2,,No,783750
KHARGHAR ,1320.27,4,3.0,7,39.0,8.2,no,No,24155746
Ulwe,1000.34,2,2.0,16,13.0,14.2,Yes,No,18537344
Panvel,1103.23,1,2.0,26,35.0,3.2,,Yes,19376929 INR
Belapur,2246.06,4,4.0,6,31.0,13.4,no,NO,44346106
Ghansoli,1251.49,2,1.0,5,27.0,13.6,no,NO,13967281
Ghansoli,424.15,2,3.0,20,14.0,2.6,No,NO,7822142
 panvel,14.73,2,1.0,18,24.0,0.3,Yes,,441508
Airoli,572.98,3,1.0,23,6.0,17.7,Yes,,7886312
Ulwe,896.37,2BHK,4.0,,38.0,1.6,no,,12667773
nerul,1086.24,3,3.0,18,37.0,16.6,yes,,19422583
Panvel,1232.59,2,3.0,33,39.0,14.7,yes,Yes,15504816
Belapur,1171.3,3,4.0,Ground,30.0,0.9,No,Yes,13990020
Panvel,968.57,2,,14,27.0,0.2,yes,YES,16041426
Airoli,592.26,,2.0,7,16.0,3.9,no,YES,₹10433864
Airoli,819.32,2,2.0,30,18.0,1.7,Yes,NO,8857743
Ghansoli,1301.77,,4.0,5,7.0,1.5,,YES,18691871
Kharghar,1089.03,,,21,37.0,4.8,Yes,Yes,9592394
CBD Belapur,1214.9,1,3.0,6,35.0,2.4,yes,No,12437275
Airoli,449.99,2,2.0,22,1.0,10.2,Yes,NO,5780341
CBD Belapur,1004.08,,,8,4.0,6.0,,No,13237286
Kharghar,837.11,3,3.0,25,6.0,9.8,yes,,11415509
Nerul,627.79,3,3.0,1,35.0,6.7,Yes,,11908624
Nerul,1807.2,1,3.0,8,34.0,5.2,,NO,31253420 INR
Vashi,1070.56,2,,18,21.0,7.8,No,Yes,18701726
Belapur,666.23,,4.0,16,32.0,11.9,Yes,No,8266749
,1825.06,,1.0,5,8.0,3.4,no,YES,22822797
Kharghar,425.01,2BHK,,8,1.0,11.2,no,NO,5943118
nerul,1348.39,,2.0,30,7.0,3.8,no,,14518984
Airoli,1081.37,1,1.0,7,4.0,14.3,no,,19009027
Airoli,836.13,2,2.0,3,26.0,5.4,no,,11327917
Belapur,537.41,2,2.0,33,28.0,12.0,yes,Yes,9434744
 panvel,819.93,,,30,3.0,2.4,no,NO,7914673
Airoli,1526.51,1,3.0,28,16.0,0.6,no,,21885999
nerul,1525.72,,1.0,5,31.0,10.5,,NO,18035083
Ghansoli,911.35,,4.0,16,19.0,7.2,,Yes,15670250
Panvel,605.77,,3.0,25,9.0,6.1,,Yes,9953953
Ulwe,4065.39,4,3.0,1,23.0,13.4,Yes,Yes,84066042
Airoli,1749.55,2,4.0,4,1.0,20.2,yes,No,19422221
Belapur,1142.27,,1.0,4,24.0,9.5,No,YES,16366101
Vashi,1333.35,1,1.0,13,34.0,8.3,Yes,NO,15541650
 panvel,1799.91,2,3.0,28,,16.0,no,,25056386
CBD Belapur,1482.83,,4.0,27,4.0,3.2,yes,NO,24871804
Belapur,1262.47,2BHK,1.0,8,34.0,2.2,,NO,20791939
nerul,1687.37,1,1.0,27,9.0,16.2,no,No,31920538
CBD Belapur,1185.4,,1.0,20,27.0,12.0,No,No,20649858
Belapur,791.12,,2.0,33,1.0,17.6,yes,YES,10327600
CBD Belapur,771.12,1,4.0,11,25.0,13.9,Yes,YES,14703647
nerul,997.84,2BHK,2.0,32,38.0,13.9,Yes,No,₹9669891
Nerul,1139.26,4,2.0,32,21.0,3.8,No,NO,12696327
Nerul,1085.48,2,4.0,10,28.0,15.2,yes,YES,16493928
Belapur,945.31,2,1.0,23,10.0,5.2,Yes,No,16274802
CBD Belapur,667.92,,,23,27.0,3.8,,NO,10012877
KHARGHAR ,1180.7,3,4.0,6,34.0,19.2,yes,,21282815
,1125.79,,4.0,9,5.0,7.4,No,NO,15267281
,754.69,2BHK,1.0,31,7.0,11.8,no,YES,8904107
KHARGHAR ,1154.21,1,1.0,24,10.0,9.2,yes,,15282177
 panvel,1173.49,,,18,38.0,7.1,,Yes,18444581
CBD Belapur,546.88,3,4.0,14,3.0,1.3,Yes,,8055204
CBD Belapur,1110.77,,1.0,11,25.0,3.7,no,NO,16842882
Panvel,1553.2,2,,0,17.0,4.9,yes,,25001722
 panvel,1012.66,1,,18,30.0,9.5,,YES,14418625
KHARGHAR ,185.16,2BHK,,18,2.0,10.4,yes,No,2188692
Belapur,1254.13,2,2.0,29,36.0,1.4,no,Yes,24774467
 panvel,1440.56,2,1.0,23,16.0,14.9,Yes,No,19373816
Vashi,1222.09,1,,30,17.0,3.6,Yes,Yes,17479222
nerul,1548.44,,4.0,33,16.0,5.1,Yes,YES,26352840
Ulwe,1309.16,,3.0,16,32.0,6.8,no,NO,13866046
nerul,983.01,,1.0,34,25.0,7.0,No,,11104708
Airoli,1082.54,2,1.0,20,34.0,11.2,no,No,14128757
KHARGHAR ,607.96,3,2.0,,25.0,0.8,No,YES,9067584
KHARGHAR ,844.19,,4.0,33,,4.0,,YES,₹9315058
nerul,988.8,,1.0,13,14.0,11.6,yes,Yes,13625999
Ghansoli,1452.48,1,4.0,24,14.0,15.1,No,NO,17656346
Ghansoli,1273.71,1,1.0,32,38.0,8.7,No,,14884164
CBD Belapur,604.29,2,,25,38.0,14.8,Yes,YES,9986009
Belapur,1124.03,1,3.0,29,17.0,6.2,No,No,13581935
Ulwe,1651.28,,4.0,30,4.0,5.8,yes,Yes,16695439
,501.45,3,2.0,19,24.0,5.6,Yes,,9796347
nerul,769.34,,4.0,22,31.0,9.2,,NO,12644765
Airoli,192.9,2BHK,4.0,9,35.0,9.9,,YES,2570829
nerul,133.81,3,4.0,12,31.0,10.5,no,NO,₹1950081
Airoli,130.21,1,1.0,25,32.0,15.6,no,NO,1580396
Ulwe,1000.09,2,3.0,5,20.0,5.4,Yes,,19923705
Airoli,1083.09,3,3.0,11,28.0,0.0,,NO,21870732
CBD Belapur,1797.14,1,,6,33.0,1.0,No,NO,27736155
Nerul,886.26,1,2.0,5,11.0,5.8,,Yes,9540554
,1324.18,4,4.0,1,30.0,11.0,yes,,14866630
Kharghar,1138.62,3,1.0,28,29.0,3.0,No,No,21492728
,978.91,2BHK,,20,22.0,2.1,No,,16925492
Airoli,1152.16,4,3.0,2,1.0,9.2,yes,,16536069
Vashi,1197.34,3,,12,16.0,16.7,No,NO,20332617
 panvel,894.62,,3.0,12,10.0,0.7,,No,8540920
,913.92,4,2.0,26,21.0,11.0,No,NO,15873000
CBD Belapur,1158.27,4,2.0,11,28.0,13.1,no,Yes,19057807
Kharghar,1000.59,,1.0,11,10.0,1.5,Yes,No,10014922
Airoli,1483.55,4,4.0,10,20.0,23.0,,YES,25016172
KHARGHAR ,1401.07,4,1.0,33,18.0,3.7,,No,27068477
Panvel,1296.87,3,4.0,25,30.0,5.0,no,YES,14223228
CBD Belapur,5897.93,2BHK,4.0,15,14.0,2.5,,YES,₹78350830
Belapur,1461.17,,2.0,31,21.0,6.4,no,YES,17364266
nerul,750.97,,1.0,22,5.0,14.9,no,,7025293
Ulwe,656.36,2BHK,1.0,7,17.0,8.5,Yes,NO,7259613 INR
Belapur,3937.52,1,3.0,8,30.0,4.3,no,YES,₹51537342
Airoli,787.02,2BHK,4.0,26,19.0,4.4,Yes,NO,₹11910325
,970.21,4,,22,38.0,9.0,No,No,19084011
Ulwe,617.82,4,,8,6.0,11.1,no,Yes,12165470
 panvel,818.84,4,4.0,25,1.0,8.9,Yes,YES,15836955
nerul,688.25,,1.0,Ground,14.0,3.4,no,NO,11535015
Airoli,412.75,2BHK,2.0,30,28.0,5.6,no,Yes,6892439
Belapur,623.04,1,3.0,21,28.0,9.9,Yes,No,8220114
Ulwe,1399.22,4,2.0,9,14.0,0.3,no,YES,17121449
Airoli,713.73,3,,0,8.0,4.6,yes,,8311631
Airoli,443.24,3,1.0,26,8.0,10.6,yes,,7278854
Ghansoli,1713.77,2BHK,3.0,29,15.0,12.9,No,NO,28453093
Nerul,658.17,2,2.0,6,6.0,2.7,,No,₹8531466
Ulwe,513.61,2,,8,4.0,5.5,,NO,6791715
Airoli,1265.17,4,4.0,13,15.0,10.8,yes,Yes,19670019
Ulwe,1338.73,2,2.0,27,33.0,7.8,Yes,Yes,23672428
CBD Belapur,4394.75,4,2.0,3,10.0,0.4,Yes,Yes,88608619
Airoli,764.19,3,3.0,16,15.0,4.3,Yes,No,13242338
 panvel,1561.57,2,3.0,32,3.0,10.2,,NO,26655042
Kharghar,1039.69,4,3.0,20,32.0,5.9,no,NO,11809091
Panvel,1049.82,1,,14,37.0,1.1,Yes,NO,15218591
Panvel,909.95,3,2.0,11,24.0,8.3,No,Yes,13259234 INR
Kharghar,836.86,2,,18,12.0,15.7,No,No,8838223
KHARGHAR ,739.3,3,4.0,14,38.0,12.0,yes,No,8319929
nerul,1691.36,2BHK,4.0,16,24.0,10.7,yes,NO,29933047
CBD Belapur,482.03,2,1.0,18,24.0,9.2,yes,NO,5511956
Ulwe,1017.22,4,1.0,12,1.0,2.0,no,,16524424
Airoli,1075.06,,2.0,6,25.0,18.7,,NO,15001569
Ghansoli,1809.39,2,4.0,21,5.0,17.7,yes,YES,22906453
Nerul,556.15,1,4.0,16,20.0,11.4,No,NO,6675945
nerul,261.96,,4.0,22,20.0,4.4,yes,No,3755642
Ghansoli,686.16,1,1.0,11,36.0,3.8,yes,No,9280413
KHARGHAR ,792.58,4,,34,12.0,12.1,Yes,No,14531704
,1050.82,1,,11,22.0,5.7,Yes,Yes,13370186
nerul,3927.95,1,4.0,8,15.0,14.1,Yes,Yes,60929562
Ghansoli,723.44,3,2.0,25,36.0,13.0,No,YES,8375039
Vashi,282.35,3,2.0,4,3.0,3.4,Yes,No,3428709 INR
nerul,1049.82,,,30,14.0,0.9,No,Yes,15939140
Nerul,899.93,4,4.0,20,15.0,13.1,No,Yes,10648372
CBD Belapur,484.72,2,1.0,9,21.0,8.1,,Yes,10145898
Ulwe,494.88,2,2.0,16,6.0,11.1,No,YES,9124729
Kharghar,737.6,2,1.0,16,25.0,4.3,No,NO,12717236
Ulwe,100.44,3,2.0,15,37.0,4.8,no,No,689971
CBD Belapur,5142.61,,1.0,20,28.0,3.2,no,YES,61977828
nerul,619.11,,4.0,3,14.0,11.1,yes,,11699533
Ghansoli,388.96,2BHK,,3,20.0,18.5,No,Yes,₹6440657
Airoli,782.23,3,2.0,23,34.0,12.5,Yes,NO,8798530
CBD Belapur,920.23,3,3.0,7,27.0,11.7,,YES,11819900
 panvel,1111.72,3,3.0,9,7.0,15.4,,No,20379036 INR
Airoli,1172.49,3,4.0,31,37.0,10.7,,NO,₹12644383
nerul,602.81,4,3.0,10,26.0,6.7,Yes,No,6840628
Ulwe,1291.76,2BHK,,25,17.0,10.0,,NO,22639707
nerul,684.89,,4.0,23,12.0,2.5,yes,No,7871862
Nerul,349.69,3,,29,27.0,9.0,Yes,No,3321441
,1416.84,2BHK,4.0,27,33.0,17.7,yes,Yes,18970284
Ulwe,703.62,,2.0,9,35.0,1.9,No,No,10490332
KHARGHAR ,589.73,4,,11,37.0,2.2,,,12678311
Ghansoli,1523.72,2BHK,3.0,31,39.0,9.7,no,No,20721869
Belapur,1153.61,4,1.0,7,28.0,14.9,no,YES,16243063 INR
nerul,666.95,2,,29,29.0,3.7,no,No,11006576
Ulwe,1017.22,4,1.0,12,1.0,2.0,no,,16524424
nerul,1299.13,2BHK,,26,35.0,2.2,Yes,,12745896
Vashi,1503.81,1,4.0,24,22.0,10.7,no,No,25358242 INR
Vashi,1298.88,3,2.0,8,39.0,6.1,,No,23084382
Ghansoli,1503.28,1,,10,8.0,15.6,No,,16236948
Airoli,855.3,1,,1,4.0,12.0,Yes,NO,10263524
Vashi,783.0,2BHK,2.0,28,30.0,3.2,no,YES,9503578
Vashi,1079.3,3,,18,2.0,15.5,,NO,16795400
KHARGHAR ,1227.87,2,1.0,13,13.0,5.4,no,Yes,₹13374048
Airoli,1073.81,3,2.0,2,18.0,12.2,yes,,13386398 INR
Vashi,1447.54,1,3.0,32,7.0,7.4,yes,YES,27685265
Panvel,1008.13,,2.0,8,20.0,8.3,Yes,NO,12540598
Ghansoli,451.76,,1.0,8,4.0,3.8,no,Yes,4967390
Ghansoli,925.56,,3.0,32,2.0,8.4,,YES,8743928
Panvel,203.38,2,1.0,7,2.0,14.0,no,Yes,3802472
KHARGHAR ,1384.39,3,3.0,12,2.0,6.0,,,14652894
Belapur,1420.87,2,2.0,28,1.0,8.8,Yes,,20758283
Ulwe,812.72,3,3.0,31,21.0,4.5,,,13756307
nerul,949.08,4,,31,10.0,7.9,No,YES,19697930
Kharghar,1103.59,4,,4,20.0,6.3,no,No,14646664
Kharghar,-86.42,1,3.0,1,21.0,4.7,yes,Yes,-1057893
Nerul,1042.03,,1.0,19,35.0,11.0,no,NO,16003508
Kharghar,1846.37,3,4.0,20,10.0,10.9,,NO,30554854
Kharghar,546.02,1,2.0,9,21.0,3.6,,Yes,7377967
nerul,1313.21,1,,16,23.0,3.8,No,,14004345
Ulwe,596.07,2,3.0,23,19.0,9.7,no,NO,10707906
Airoli,698.61,4,2.0,24,7.0,6.2,yes,,11424626
Vashi,408.39,,1.0,6,8.0,4.7,,No,6053108
Ulwe,721.6,1,2.0,20,2.0,6.4,No,,13345610
Belapur,1769.48,1,4.0,10,28.0,1.8,,Yes,25588839
Ghansoli,1381.16,4,1.0,24,28.0,4.7,Yes,YES,24343238
Vashi,1355.86,2,2.0,12,5.0,3.1,yes,No,21633756
Ghansoli,627.93,4,,3,20.0,14.5,Yes,,9934222
Vashi,1197.49,1,1.0,14,3.0,12.4,no,No,20795845
Ulwe,856.56,2,2.0,29,25.0,9.2,Yes,Yes,9451054
Ghansoli,1390.24,3,2.0,14,28.0,9.5,yes,YES,15950407
KHARGHAR ,1382.94,1,4.0,2,32.0,0.4,Yes,NO,21602398
Vashi,1825.4,,,22,22.0,6.6,Yes,YES,17323272
Airoli,730.26,2BHK,,23,16.0,15.9,yes,No,8541162
 panvel,958.35,2,,30,24.0,9.4,No,NO,18519314
nerul,500.02,2,3.0,29,39.0,6.0,No,YES,10113992
nerul,789.52,2BHK,,17,15.0,12.3,No,NO,8154436
Belapur,1212.62,3,3.0,32,26.0,2.2,,YES,17028146
nerul,398.48,,4.0,24,21.0,6.8,no,No,5198873
Vashi,238.56,,3.0,1,37.0,9.9,yes,No,3405204
CBD Belapur,961.71,2BHK,1.0,4,7.0,10.6,,No,17520168
KHARGHAR ,1024.28,2BHK,3.0,3,17.0,9.2,Yes,Yes,14561231
Belapur,604.24,,1.0,29,18.0,7.2,no,YES,9442314
Kharghar,969.41,2BHK,4.0,4,10.0,3.0,Yes,Yes,12500385
 panvel,1323.1,2BHK,2.0,12,38.0,5.4,No,No,13365312
Nerul,594.46,3,1.0,25,31.0,7.0,no,NO,9961666 INR
Ghansoli,999.14,3,,8,23.0,1.9,Yes,YES,20304843
KHARGHAR ,656.81,,1.0,20,3.0,14.6,no,Yes,8580878
Belapur,742.34,2BHK,,31,14.0,21.0,Yes,NO,8201396
 panvel,650.48,4,3.0,,12.0,10.5,Yes,No,13454840
,1698.43,,2.0,14,5.0,2.9,No,No,19324341
Vashi,1178.38,4,2.0,,1.0,3.1,no,No,23542636
Airoli,1210.61,4,3.0,23,12.0,1.2,No,,19536797
Kharghar,615.7,2,4.0,5,9.0,21.3,,NO,6342681
Nerul,558.11,2BHK,,34,6.0,1.1,yes,No,4757711
Kharghar,1233.24,4,3.0,5,38.0,13.7,,YES,13265353
Nerul,1108.96,4,1.0,Ground,9.0,3.5,,,14087240
